Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM,DSP,FF,LUT,URAM,BRAM Util,DSP Util,FF Util,LUT Util,URAM Util
Opt1,Autoencoder,Pass,29754387,26817276,25690296,85549000.0,1083,52,12797,13829,4,26.86%,0.58%,0.49%,1.06%,0.42%
Opt2,Autoencoder,Pass,7440860,6656880,6623305,22056000.0,2023,59,13054,12704,4,50.17%,0.65%,0.50%,0.97%,0.42%
Opt3,Autoencoder,Pass,1194585,144936,1061289,4971000.0,1747,347,197831,148532,2,43.33%,3.85%,7.59%,11.39%,0.21%
Opt4,Autoencoder,Pass,506027,53167,401804,1882000.0,1848,1140,219523,148343,137,45.83%,12.63%,8.42%,11.38%,14.27%
Opt5,Autoencoder,Pass,39178,36234,33063,120000.0,2396,3124,446758,242846,0,59.42%,34.62%,17.13%,18.63%,0.00%
Opt1,ResMLP,Pass,18355421,18359291,16777321,55868000.0,1812,22,8406,9359,5,44.94%,0.24%,0.32%,0.72%,0.52%
Opt2,ResMLP,Pass,4598945,4199170,4194413,13967000.0,1823,30,8686,8156,3,45.21%,0.33%,0.33%,0.63%,0.31%
Opt3,ResMLP,Pass,675122,135608,393573,1914000.0,1828,258,171452,110250,66,45.34%,2.86%,6.58%,8.46%,6.88%
Opt4,ResMLP,Pass,382566,33125,262359,874000.0,1380,1786,324643,183669,130,34.23%,19.79%,12.45%,14.09%,13.54%
Opt5,ResMLP,Pass,39782,33125,32963,110000.0,1368,2354,399921,208120,128,33.93%,26.09%,15.34%,15.96%,13.33%
