Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM Util,DSP Util,FF Util,LUT Util,URAM Util,BRAM,DSP,FF,LUT,URAM
Opt1,k7mmseq_balanced,Pass,1145445,1145340,1048672,3492000.0,0.17%,0.23%,0.31%,0.68%,1.35%,7,21,8018,8847,13
Opt2,k7mmseq_balanced,Pass,286437,286335,262240,873000.0,0.17%,0.39%,0.28%,0.51%,0.73%,7,35,7425,6665,7
Opt3,k7mmseq_balanced,Pass,66573,22140,49288,230000.0,7.94%,3.18%,2.45%,4.04%,0.00%,320,287,63985,52637,0
Opt4,k7mmseq_balanced,Pass,5684,5535,4239,14862.0,5.56%,17.38%,9.27%,14.88%,0.00%,224,1568,241776,194014,0
Opt5,k7mmseq_balanced,Pass,5684,5535,4239,14862.0,5.56%,17.38%,9.27%,14.88%,0.00%,224,1568,241776,194014,0
Opt1,k7mmseq_unbalanced,Pass,4292833,4237040,4194396,13967000.0,2.01%,0.23%,0.30%,0.69%,0.62%,81,21,7881,8939,6
Opt2,k7mmseq_unbalanced,Pass,1083518,1057120,1048669,3492000.0,1.12%,0.34%,0.30%,0.57%,0.42%,45,31,7750,7380,4
Opt3,k7mmseq_unbalanced,Pass,114661,36784,98456,461000.0,7.94%,3.01%,2.57%,4.15%,0.00%,320,272,66928,54074,0
Opt4,k7mmseq_unbalanced,Pass,51616,17431,49300,230000.0,5.75%,17.03%,8.41%,11.76%,0.00%,232,1537,219294,153315,0
Opt5,k7mmseq_unbalanced,Pass,10036,9196,8351,29279.0,5.36%,20.48%,9.82%,13.69%,0.00%,216,1848,255949,178479,0
