Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM Util,DSP Util,FF Util,LUT Util,URAM Util,BRAM,DSP,FF,LUT,URAM
Opt1,FeedForward,Pass,67276842,67271675,67141684,224000000.0,28.70%,0.11%,0.16%,0.36%,0.00%,1157,10,4119,4732,0
Opt2,FeedForward,Pass,16811056,16809700,16777271,55868000.0,12.87%,0.16%,0.16%,0.32%,0.00%,519,14,4179,4160,0
Opt3,FeedForward,Pass,1053645,263355,1048915,4913000.0,15.48%,2.93%,3.16%,4.43%,10.00%,624,264,82279,57718,96
Opt4,FeedForward,Pass,131467,65775,131170,519000.0,15.48%,20.23%,11.29%,14.38%,5.00%,624,1826,294464,187503,48
Opt5,FeedForward,Pass,65997,65775,65604,281000.0,33.73%,32.62%,20.27%,24.67%,4.17%,1360,2944,528588,321646,40
Opt1,MultiHeadSelfAttention1,Pass,10531237,10579822,10518669,35027000.0,23.51%,0.42%,0.54%,1.33%,0.00%,948,38,13990,17397,0
Opt2,MultiHeadSelfAttention1,Pass,2693533,2687110,2637915,8784000.0,14.88%,0.55%,0.57%,1.23%,0.00%,600,50,14735,15994,0
Opt3,MultiHeadSelfAttention1,Pass,267720,134830,264372,1255000.0,32.74%,11.00%,8.81%,16.12%,0.00%,1320,993,229596,210209,0
Opt4,MultiHeadSelfAttention1,Pass,39469,35298,33920,113000.0,23.51%,31.74%,16.71%,22.65%,0.00%,948,2864,435761,295297,0
Opt5,MultiHeadSelfAttention1,Pass,35143,35135,34708,131000.0,24.21%,35.64%,21.51%,30.22%,0.00%,976,3216,560775,394030,0
