Kernel                    ,Opt1 RTL Cycles ,Opt1 StreamHLS Cycles            ,Opt1 Vitis HLS Cycles            ,empty
Autoencoder               ,2.98E+07        ,\textbf{2.68E+07 ($0.90\times$)} ,2.57E+07 ($0.86\times$)          ,
Residual MLP              ,1.84E+07        ,\textbf{1.84E+07 ($1.00\times$)} ,1.68E+07 ($0.91\times$)          ,
Residual Block            ,5.79E+07        ,\textbf{5.79E+07 ($1.00\times$)} ,2.91E+07 ($0.50\times$)          ,
DWSConv. Block            ,6.63E+06        ,\textbf{6.53E+06 ($0.98\times$)} ,3.82E+06 ($0.58\times$)          ,
Feed Forward              ,6.73E+07        ,\textbf{6.73E+07 ($1.00\times$)} ,6.71E+07 ($1.00\times$)          ,
Multi-Head Self Attention ,1.05E+07        ,1.06E+07 ($1.00\times$)          ,\textbf{1.05E+07 ($1.00\times$)} ,
3mm                       ,6.38E+07        ,6.38E+07 ($1.00\times$)          ,\textbf{6.38E+07 ($1.00\times$)} ,
atax                      ,1.28E+06        ,\textbf{1.28E+06 ($1.00\times$)} ,8.00E+05 ($0.63\times$)          ,
7mm Balanced              ,1.15E+06        ,\textbf{1.15E+06 ($1.00\times$)} ,1.05E+06 ($0.92\times$)          ,
7mm Imbalanced            ,4.29E+06        ,\textbf{4.24E+06 ($0.99\times$)} ,4.19E+06 ($0.98\times$)          ,
Geo. Mean                 ,                ,$0.99\times$                     ,$0.81\times$                     ,
