Benchmark,Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM,DSP,FF,LUT,URAM,BRAM Util,DSP Util,FF Util,LUT Util,URAM Util
mlps,Opt1,Autoencoder,Pass,29754387,26817276,25690296,85549000.0,1083,52,12797,13829,4,26.86%,0.58%,0.49%,1.06%,0.42%
mlps,Opt2,Autoencoder,Pass,7440860,6656880,6623305,22056000.0,2023,59,13054,12704,4,50.17%,0.65%,0.50%,0.97%,0.42%
mlps,Opt3,Autoencoder,Pass,1194585,144936,1061289,4971000.0,1747,347,197831,148532,2,43.33%,3.85%,7.59%,11.39%,0.21%
mlps,Opt4,Autoencoder,Pass,506027,53167,401804,1882000.0,1848,1140,219523,148343,137,45.83%,12.63%,8.42%,11.38%,14.27%
mlps,Opt5,Autoencoder,Pass,39178,36234,33063,120000.0,2396,3124,446758,242846,0,59.42%,34.62%,17.13%,18.63%,0.00%
mlps,Opt1,ResMLP,Pass,18355421,18359291,16777321,55868000.0,1812,22,8406,9359,5,44.94%,0.24%,0.32%,0.72%,0.52%
mlps,Opt2,ResMLP,Pass,4598945,4199170,4194413,13967000.0,1823,30,8686,8156,3,45.21%,0.33%,0.33%,0.63%,0.31%
mlps,Opt3,ResMLP,Pass,675122,135608,393573,1914000.0,1828,258,171452,110250,66,45.34%,2.86%,6.58%,8.46%,6.88%
mlps,Opt4,ResMLP,Pass,382566,33125,262359,874000.0,1380,1786,324643,183669,130,34.23%,19.79%,12.45%,14.09%,13.54%
mlps,Opt5,ResMLP,Pass,39782,33125,32963,110000.0,1368,2354,399921,208120,128,33.93%,26.09%,15.34%,15.96%,13.33%
cnns,Opt1,DepthwiseSeparableConvBlock,Pass,6626899,6526491,3817045,12711000.0,997,12,3290,4704,0,24.73%,0.13%,0.13%,0.36%,0.00%
cnns,Opt2,DepthwiseSeparableConvBlock,Pass,1039800,6656667,935769,3199000.0,410,19,3792,4374,0,10.17%,0.21%,0.15%,0.34%,0.00%
cnns,Opt3,DepthwiseSeparableConvBlock,Pass,331610,281355,231260,770000.0,532,190,40768,37456,84,13.19%,2.11%,1.56%,2.87%,8.75%
cnns,Opt4,DepthwiseSeparableConvBlock,Pass,134538,84245,134484,567000.0,532,572,56800,40697,84,13.19%,6.34%,2.18%,3.12%,8.75%
cnns,Opt5,DepthwiseSeparableConvBlock,Pass,134541,84245,134487,567000.0,532,572,60607,40327,84,13.19%,6.34%,2.32%,3.09%,8.75%
cnns,Opt1,ResidualBlock,Pass,57906819,57856567,29109455,96934000.0,620,20,4828,6943,0,15.38%,0.22%,0.19%,0.53%,0.00%
cnns,Opt2,ResidualBlock,Pass,7949981,62059063,7750742,25810000.0,426,30,6849,7498,0,10.57%,0.33%,0.26%,0.58%,0.00%
cnns,Opt3,ResidualBlock,Pass,7251431,4142220,6348219,27616000.0,630,84,24486,24865,14,15.62%,0.93%,0.94%,1.91%,1.46%
cnns,Opt4,ResidualBlock,Pass,2090519,1045640,1832385,6496000.0,552,276,47003,36206,48,13.69%,3.06%,1.80%,2.78%,5.00%
cnns,Opt5,ResidualBlock,Pass,2092531,1045640,1832388,6102000.0,934,300,49879,37954,0,23.16%,3.32%,1.91%,2.91%,0.00%
transformers,Opt1,FeedForward,Pass,67276842,67271675,67141684,224000000.0,1157,10,4119,4732,0,28.70%,0.11%,0.16%,0.36%,0.00%
transformers,Opt2,FeedForward,Pass,16811056,16809700,16777271,55868000.0,519,14,4179,4160,0,12.87%,0.16%,0.16%,0.32%,0.00%
transformers,Opt3,FeedForward,Pass,1053645,263355,1048915,4913000.0,624,264,82279,57718,96,15.48%,2.93%,3.16%,4.43%,10.00%
